experiment_id,sentence,pattern,backend_label,noise_kind,noise_level,expected_indices,top_indices,overlap,success_prob
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-depolarizing-low,depolarizing,low,"9,15,46","31,54,73",0,0.030273
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-depolarizing-medium,depolarizing,medium,"9,15,46","55,72,94",0,0.024902
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-depolarizing-high,depolarizing,high,"9,15,46","55,72,94",0,0.024902
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-depolarizing-very-high,depolarizing,very-high,"9,15,46","55,72,94",0,0.024902
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-combined-ultra-low,combined,ultra-low,"9,15,46","9,15,46",3,0.351074
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-combined-low,combined,low,"9,15,46","64,80,97",0,0.018066
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-combined-medium,combined,medium,"9,15,46","60,68,73",0,0.014648
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-combined-high,combined,high,"9,15,46","56,64,90",0,0.020996
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,simulator-combined-very-high,combined,very-high,"9,15,46","0,4,40",0,0.020508
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,noisy-sim-ibm_fez,backend_noise,ibm_fez,"9,15,46","53,54,90",0,0.022949
5,humberto costa cordeiro tavora e sergio de vasconcelos filho fazem a dupla de algoritmos 1,co,noisy-sim-ibm_torino,backend_noise,ibm_torino,"9,15,46","72,79,110",0,0.023926
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,ideal-simulator,ideal,none,"21,24,30,64","21,24,30,64",4,0.998047
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-amplitude-ultra-low,amplitude,ultra-low,"21,24,30,64","21,24,30,64",4,0.644531
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-amplitude-low,amplitude,low,"21,24,30,64","59,64,103,119",1,0.046875
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-amplitude-medium,amplitude,medium,"21,24,30,64","15,47,55,63",0,0.030273
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-amplitude-high,amplitude,high,"21,24,30,64","41,49,53,55",0,0.036621
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-amplitude-very-high,amplitude,very-high,"21,24,30,64","0,16,20,48",0,0.033691
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-phase-ultra-low,phase,ultra-low,"21,24,30,64","21,24,30,64",4,0.848145
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-phase-low,phase,low,"21,24,30,64","21,24,30,64",4,0.211426
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-phase-medium,phase,medium,"21,24,30,64","31,54,55,94",0,0.032715
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-phase-high,phase,high,"21,24,30,64","31,55,72,94",0,0.032227
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-phase-very-high,phase,very-high,"21,24,30,64","55,69,72,94",0,0.031738
6,eu estava passeando em um dia muito ensolarado e veio a chuva e me levou,m,simulator-depolarizing-ultra-low,depolarizing,ultra-low,"21,24,30,64","21,24,30,64",4,0.613281
